imo,mmsi,name,flag,type
9116462,1073727001,"AEGEANQUE EN",,"Passengers Ship"
9116462,1072678425,"AEGEQNQUE EN",,"Passengers Ship"
9700940,1028641360,"IVQ!PC=NDA  O0  O0",,Cargo
9116462,1073727001,"AEGEANQUE EN",,"Passengers Ship"
9116462,1072678425,"AEGEQNQUE EN",,"Passengers Ship"
8988600,999990394,TEST25,,"Tanker A"
8882533,998666200,"DONA ANNETTE",,"Not available"
9999122,999999123,TEST,,"Not available"
7373737,999000073,MISTRAL,,"Other Type"
5242880,999868921,"SHUN FENG 04",,"Reserved for future use"
9411903,1044362668,ACHAEOS,,"Ro-Ro/Passenger Ship"
3165096,1014473400,SALAMIS,,Cargo
9386158,993250540,CHELSEA5,,"General Cargo"
6789029,991982939,V,,"Not available"
9126755,987654322,DENEME2,,Fishing
1234658,987600000,ABCD,,Cargo
9459565,982570222,"OCEANIC SIRIUS FRC",,"Research/Survey Vessel"
9459565,982570221,"OCEANIC SIRIUS WB2",,"Research/Survey Vessel"
9999999,982219999,B,,"Not available"
9683142,982000000,DLV2000,,Tanker
9390126,977387782,"SUPERPESA XI",,Tug
6086389,970216917,"QMMG\1RSUE&GP5U76VGE",,
8898453,955132261,UFIMETS,,"General Cargo"
9517317,941290000,"LONG XING DAO",,"Passenger C"
8933746,932676000,JOSAMO,,"General Cargo"
1119991,919191919,SUNRISE3,,"Not available"
7738249,913916393,"MARITECH (RADIO CO)",,"Search and Rescue vessel"
8223450,913911000,DH,,Cargo
9355642,913526478,"THUAN PHAT 88",,"Reserved for future use"
9680865,911100000,"FEOSO PIONEER",,Tanker
8630241,901235138,"UNLIMITED 2",,
8223311,900466888,TALOFA,,Cargo
9559594,899031000,AAAAAAAA,,Cargo
9709099,896448675,"CIPTA JAYA HARAPAN 7",,"Pleasure Craft"
1009869,893191082,AUSPICIOUS,,Yacht
6806535,888888886,BOEMMELFJORD,,"Fishing Vessel"
6100951,888888880,HAP,,Cargo
8424379,888856789,"JANE S",,Tug
9044085,884466660,"MS TRUE",,"Oil/Chemical Tanker"
